没有	46932
什么	44621
自己	44283
这样	37811
我们	31800
不是	27913
同学	27868
这个	26877
知道	25278
就是	25131
虽然	24768
的话	24639
这么	23633
还是	22470
已经	22321
现在	22118
觉得	21923
这种	21335
可以	19449
一样	19326
一个	19241
时候	18846
不会	18734
应该	18695
只是	17792
感觉	17616
那个	17090
一起	15374
可能	14907
怎么	14885
但是	14875
起来	14859
开始	14794
之后	14184
真的	13664
事情	13255
这里	12814
东西	12635
小姐	12330
声音	12309
喜欢	11934
大人	11874
那么	11829
然后	11799
就算	11718
看到	11465
无法	11407
一直	11120
像是	11055
为什么	10852
为了	10790
似乎	10547
一下	10385
完全	10173
好像	9877
魔法	9783
她们	9589
表情	9496
出来	9419
而且	9335
今天	9281
还有	9187
问题	9169
地方	9145
时间	9076
一边	9003
只有	8972
少女	8900
真是	8615
有点	8527
感到	8491
突然	8473
一点	8359
身体	8289
那样	8274
之前	8133
明明	8103
那种	8016
世界	7925
只要	7815
变得	7741
看着	7697
如此	7501
不能	7426
一定	7212
想要	7185
要是	7184
两人	7129
房间	7076
不要	7056
朋友	7021
有些	7017
非常	6997
听到	6938
你们	6882
当然	6770
样子	6684
这些	6682
刚才	6656
露出	6631
其实	6577
或许	6555
对方	6531
来说	6485
老师	6422
大家	6346
学姊	6295
希望	6254
大概	6217
发生	6197
他们	6177
变成	6088
关系	6069
这是	6026
发现	6010
说道	6004
继续	6002
学姐	5998
办法	5989
回答	5987
两个	5984
是因为	5981
姐姐	5952
看起来	5915
过去	5877
成为	5799
确实	5740
过来	5691
妹妹	5642
能够	5628
最后	5549
学校	5454
毕竟	5454
眼睛	5411
到底	5405
存在	5374
离开	5322
认为	5316
肯定	5310
结果	5299
学生	5293
比较	5283
可爱	5253
同时	5210
其他	5207
打算	5169
不想	5119
笑容	5107
开心	5095
根本	5044
视线	5028
而已	5023
玛瑙	4952
奇怪	4923
鸟子	4911
明白	4896
发出	4895
意思	4881
心情	4878
准备	4807
工作	4806
安达	4803
实在	4766
决定	4731
只能	4699
看来	4696
那里	4657
宫城	4655
果然	4650
即使	4640
出现	4634
然而	4583
身上	4581
稍微	4522
那些	4481
以前	4464
我会	4423
不知	4419
需要	4414
岛村	4383
这件	4351
想法	4344
母亲	4335
名字	4307
任何	4277
甚至	4261
不管	4236
这次	4235
而是	4230
一次	4229
没错	4229
因此	4211
仙台	4180
孩子	4178
不同	4174
必须	4174
告诉	4166
清楚	4158
接着	4126
既然	4108
